institution,country,arwu_rank,arwu_score,tuition_in_state_usd,tuition_out_state_usd,total_cost_usd,uk_home_fee_gbp,uk_intl_fee_gbp,price_usd,rank,rank_percentile,price_percentile,united_states_rank_percentile,united_states_price_percentile,united_kingdom_rank_percentile,united_kingdom_price_percentile,value_score,united_states_value_score,united_kingdom_value_score
California State University-Sacramento,United States,63,25.5,7602.0,19482.0,22714.0,,,19482.0,63,46.389496717724285,19.25601750547046,38.759689922480625,20.930232558139537,,,60.131291028446384,54.883720930232556,
University of California-Berkeley,United States,4,68.9,14850.0,45627.0,42708.0,,,45627.0,4,97.81181619256017,82.05689277899344,97.41602067183463,79.06976744186046,,,65.86433260393872,66.82170542635659,
University of California-Davis,United States,42,32.5,15247.0,46024.0,38067.0,,,46024.0,42,65.86433260393873,82.93216630196937,61.49870801033591,80.10335917312662,,,46.34573304157549,44.857881136950894,
University of California-Irvine,United States,48,30.6,14237.0,45014.0,36121.0,,,45014.0,48,63.89496717724289,81.61925601750546,59.17312661498708,78.55297157622739,,,45.689277899343544,44.08268733850129,
University of California-Los Angeles,United States,12,51.9,13747.0,44524.0,36643.0,,,44524.0,12,87.30853391684902,80.30634573304157,85.27131782945736,77.00258397932816,,,60.26258205689278,60.361757105943155,
University of California-Riverside,United States,69,23.7,14170.0,44947.0,34975.0,,,44947.0,69,37.85557986870897,81.4004376367615,28.68217054263566,78.29457364341084,,,30.153172866520784,25.891472868217058,
University of California-San Diego,United States,19,42.1,15265.0,46042.0,36325.0,,,46042.0,19,82.93216630196937,83.15098468271334,80.62015503875969,80.36175710594316,,,56.49890590809629,56.22739018087855,
University of California-Santa Barbara,United States,43,32.2,14965.0,45742.0,36776.0,,,45742.0,43,65.42669584245077,82.27571115973743,60.98191214470285,79.32816537467701,,,46.34573304157549,44.8578811369509,
University of California-Santa Cruz,United States,43,32.2,14560.0,45337.0,38649.0,,,45337.0,43,65.42669584245077,81.83807439824945,60.98191214470285,78.81136950904393,,,46.52078774617068,45.064599483204134,
Chapman University,United States,201,14.9,62784.0,62784.0,81327.0,,,62784.0,201,30.196936542669583,95.62363238512035,21.705426356589147,94.83204134366925,,,19.868708971553612,15.09043927648579,
Dominican University of California,United States,42,32.5,50666.0,50666.0,68620.0,,,50666.0,42,65.86433260393873,86.2144420131291,61.49870801033591,83.72093023255815,,,45.0328227571116,43.410852713178286,
University of La Verne,United States,151,18.4,47000.0,47000.0,61564.0,,,47000.0,151,31.947483588621445,84.02625820568927,22.22222222222222,81.3953488372093,,,25.557986870897157,20.775193798449614,
La Sierra University,United States,401,2.9,35910.0,35910.0,49365.0,,,35910.0,401,16.849015317286653,62.36323851203501,13.436692506459949,57.105943152454785,,,25.164113785557987,25.219638242894057,
National University,United States,31,36.2,13320.0,13320.0,37116.0,,,13320.0,31,75.92997811816193,4.3763676148796495,72.60981912144703,5.167958656330749,,,83.80743982494529,81.49870801033592,
University of the Pacific,United States,46,31.2,55340.0,55340.0,68173.0,,,55340.0,46,64.77024070021882,90.15317286652079,60.20671834625323,88.37209302325581,,,42.800875273522976,40.775193798449614,
Pepperdine University,United States,39,33.5,66742.0,66742.0,85202.0,,,66742.0,39,70.02188183807439,99.34354485776805,66.1498708010336,99.2248062015504,,,42.27571115973742,40.00000000000001,
University of Redlands,United States,301,12.2,57614.0,57614.0,70233.0,,,57614.0,301,22.975929978118163,91.90371991247265,16.27906976744186,90.43927648578811,,,17.024070021881837,13.591731266149871,
San Diego State University,United States,52,28.8,8290.0,20170.0,27357.0,,,20170.0,52,63.01969365426696,21.88183807439825,58.39793281653747,22.997416020671835,,,69.05908096280088,65.83979328165375,
University of San Diego,United States,301,12.2,56444.0,56444.0,74879.0,,,56444.0,301,22.975929978118163,90.80962800875274,16.27906976744186,89.14728682170544,,,17.461706783369802,14.108527131782942,
San Francisco State University,United States,63,25.5,7424.0,19304.0,25258.0,,,19304.0,63,46.389496717724285,18.818380743982495,38.759689922480625,20.41343669250646,,,60.30634573304158,55.090439276485796,
University of San Francisco,United States,15,46.2,58222.0,58222.0,76421.0,,,58222.0,15,84.24507658643327,92.99781181619255,81.65374677002583,91.7312661498708,,,53.34792122538294,52.29974160206718,
San Jose State University,United States,401,4.1,7992.0,19872.0,25695.0,,,19872.0,401,16.849015317286653,20.568927789934357,13.436692506459949,21.963824289405682,,,41.88183807439825,39.2764857881137,
Santa Clara University,United States,201,14.3,59241.0,59241.0,77768.0,,,59241.0,201,30.196936542669583,93.43544857768052,21.705426356589147,92.24806201550388,,,20.743982494529543,16.124031007751938,
Sonoma State University,United States,52,28.8,8190.0,20070.0,24739.0,,,20070.0,52,63.01969365426696,21.2253829321663,58.39793281653747,22.48062015503876,,,69.32166301969366,66.04651162790697,
Vanguard University of Southern California,United States,46,31.2,39950.0,39950.0,50178.0,,,39950.0,46,64.77024070021882,72.64770240700219,60.20671834625323,67.95865633074936,,,49.803063457330424,48.940568475452196,
University of Southern California,United States,46,31.2,68237.0,68237.0,84678.0,,,68237.0,46,64.77024070021882,100.0,60.20671834625323,100.0,,,38.862144420131294,36.12403100775194,
Ashford University,United States,2,76.3,13160.0,13160.0,30866.0,,,13160.0,2,99.12472647702407,4.157549234135667,98.96640826873386,4.909560723514212,,,97.81181619256017,97.41602067183462,
Stanford University,United States,2,76.3,62484.0,62484.0,82162.0,,,62484.0,2,99.12472647702407,95.40481400437638,98.96640826873386,94.57364341085271,,,61.31291028446388,61.55038759689923,
University of Massachusetts Global,United States,301,12.5,12520.0,12520.0,33365.0,,,12520.0,301,22.975929978118163,3.50109409190372,16.27906976744186,4.1343669250646,,,52.38512035010941,48.11369509043928,
California State University-San Marcos,United States,63,25.5,7739.0,19619.0,21144.0,,,19619.0,63,46.389496717724285,19.474835886214443,38.759689922480625,21.188630490956072,,,60.0437636761488,54.78036175710595,
University of California-Merced,United States,4,68.9,14167.0,44944.0,37098.0,,,44944.0,4,97.81181619256017,81.1816192560175,97.41602067183463,78.0361757105943,,,66.2144420131291,67.23514211886305,
Westcliff University,United States,201,16.2,21000.0,21000.0,35995.0,,,21000.0,201,30.196936542669583,25.164113785557984,21.705426356589147,25.32299741602067,,,48.05251641137856,42.89405684754522,
Reach University,United States,61,26.1,12374.0,12374.0,24225.0,,,12374.0,61,49.23413566739606,3.282275711159737,42.11886304909561,3.875968992248062,,,68.22757111597375,63.720930232558146,
Adelphi University,United States,10,54.1,47290.0,47290.0,57444.0,,,47290.0,10,93.43544857768052,84.46389496717724,92.50645994832041,81.91214470284238,,,62.27571115973741,62.73901808785529,
Alfred University,United States,10,54.1,39530.0,39530.0,54516.0,,,39530.0,10,93.43544857768052,70.45951859956236,92.50645994832041,65.89147286821705,,,67.87746170678336,69.14728682170542,
Canisius University,United States,201,16.2,32720.0,32720.0,42271.0,,,32720.0,201,30.196936542669583,52.735229759299784,21.705426356589147,48.57881136950905,,,37.02407002188184,33.59173126614987,
Clarkson University,United States,40,33.2,57950.0,57950.0,76451.0,,,57950.0,40,68.27133479212254,92.12253829321662,64.08268733850129,90.69767441860465,,,44.11378555798687,42.17054263565891,
Colgate University,United States,7,60.4,67024.0,67024.0,83650.0,,,67024.0,7,96.06126914660832,99.78118161925602,95.60723514211887,99.74160206718346,,,57.72428884026258,57.46770025839793,
Cornell University,United States,11,52.8,66014.0,66014.0,83196.0,,,66014.0,11,88.40262582056893,98.90590809628009,86.56330749354005,98.70801033591732,,,53.479212253829324,52.4547803617571,
D'Youville  University,United States,10,54.1,33560.0,33560.0,42512.0,,,33560.0,10,93.43544857768052,55.36105032822757,92.50645994832041,50.3875968992248,,,73.91684901531728,75.34883720930233,
Daemen University,United States,201,14.9,33724.0,33724.0,44232.0,,,33724.0,201,30.196936542669583,56.455142231947484,21.705426356589147,51.42118863049095,,,35.53610503282276,32.45478036175711,
Fordham University,United States,201,14.9,61992.0,61992.0,77351.0,,,61992.0,201,30.196936542669583,94.9671772428884,21.705426356589147,94.05684754521964,,,20.13129102844639,15.400516795865633,
Hofstra University,United States,52,28.8,55450.0,55450.0,68298.0,,,55450.0,52,63.01969365426696,90.37199124726477,58.39793281653747,88.63049095607235,,,41.66301969365426,39.58656330749354,
Iona University,United States,31,36.2,45880.0,45880.0,57336.0,,,45880.0,31,75.92997811816193,82.71334792122538,72.60981912144703,79.84496124031007,,,52.472647702407,51.627906976744185,
Long Island University,United States,2,76.3,41642.0,41642.0,52419.0,,,41642.0,2,99.12472647702407,75.92997811816193,98.96640826873386,71.83462532299741,,,69.10284463894966,70.64599483204134,
Mercy University,United States,57,27.3,22106.0,22106.0,32391.0,,,22106.0,57,54.92341356673961,29.321663019693656,48.837209302325576,28.68217054263566,,,61.225382932166305,57.82945736434108,
University of Mount Saint Vincent,United States,41,32.9,42740.0,42740.0,50617.0,,,42740.0,41,66.3019693654267,77.24288840262582,61.75710594315246,73.38501291989664,,,48.88402625820569,47.70025839793282,
Nazareth University,United States,10,54.1,40880.0,40880.0,56140.0,,,40880.0,10,93.43544857768052,74.39824945295405,92.50645994832041,70.02583979328165,,,66.30196936542669,67.49354005167959,
New York University,United States,22,40.2,60438.0,60438.0,79121.0,,,60438.0,22,81.83807439824945,94.09190371991247,79.32816537467701,93.02325581395348,,,51.46608315098468,50.38759689922482,
Niagara University,United States,401,3.8,38135.0,38135.0,50174.0,,,38135.0,401,16.849015317286653,67.39606126914661,13.436692506459949,62.532299741602074,,,23.150984682713347,23.049095607235138,
New York Institute of Technology,United States,72,22.8,44360.0,44360.0,53625.0,,,44360.0,72,37.199124726477024,79.54048140043764,27.906976744186046,76.09819121447028,,,30.503282275711157,26.304909560723516,
Pace University,United States,10,54.1,51424.0,51424.0,68092.0,,,51424.0,10,93.43544857768052,87.74617067833698,92.50645994832041,85.52971576227391,,,60.962800875273516,61.291989664082685,
Roberts Wesleyan University,United States,24,39.1,37504.0,37504.0,49621.0,,,37504.0,24,81.1816192560175,65.64551422319475,78.81136950904393,60.46511627906976,,,62.450765864332595,63.100775193798455,
Rochester Institute of Technology,United States,72,22.8,57016.0,57016.0,71714.0,,,57016.0,72,37.199124726477024,91.2472647702407,27.906976744186046,89.66408268733849,,,25.820568927789935,20.87855297157623,
University of Rochester,United States,60,26.4,64348.0,64348.0,82600.0,,,64348.0,60,49.671772428884026,96.93654266958424,42.63565891472868,96.38242894056847,,,31.028446389496718,27.02842377260982,
St Bonaventure University,United States,401,7.1,40150.0,40150.0,55265.0,,,40150.0,401,16.849015317286653,73.30415754923413,13.436692506459949,68.73385012919897,,,20.78774617067834,20.56847545219638,
St Lawrence University,United States,201,14.3,63870.0,63870.0,79665.0,,,63870.0,201,30.196936542669583,96.49890590809628,21.705426356589147,95.8656330749354,,,19.51859956236324,14.677002583979327,
St. John Fisher University,United States,14,47.8,39666.0,39666.0,52514.0,,,39666.0,14,84.9015317286652,71.55361050328227,82.42894056847545,66.9250645994832,,,62.31947483588621,62.68733850129199,
University at Albany,United States,301,12.5,10408.0,28998.0,28490.0,,,28998.0,301,22.975929978118163,44.42013129102845,16.27906976744186,42.377260981912144,,,36.01750547045952,32.81653746770026,
Binghamton University,United States,401,5.0,10363.0,29453.0,29657.0,,,29453.0,401,16.849015317286653,45.29540481400438,13.436692506459949,43.41085271317829,,,31.99124726477024,30.697674418604652,
University at Buffalo,United States,401,5.9,10782.0,30572.0,29043.0,,,30572.0,401,16.849015317286653,48.14004376367615,13.436692506459949,45.47803617571059,,,30.853391684901535,29.870801033591732,
Stony Brook University,United States,40,33.2,10560.0,30350.0,29174.0,,,30350.0,40,68.27133479212254,47.26477024070022,64.08268733850129,44.70284237726098,,,62.056892778993436,60.56847545219638,
SUNY Buffalo State University,United States,52,28.8,8486.0,18906.0,23171.0,,,18906.0,52,63.01969365426696,16.411378555798688,58.39793281653747,18.087855297157624,,,71.24726477024069,67.80361757105942,
Empire State University,United States,52,28.8,7630.0,17540.0,18221.0,,,17540.0,52,63.01969365426696,13.566739606126916,58.39793281653747,15.245478036175712,,,72.38512035010942,68.9405684754522,
Syracuse University,United States,10,54.1,63061.0,63061.0,80396.0,,,63061.0,10,93.43544857768052,95.84245076586433,92.50645994832041,95.09043927648578,,,57.72428884026258,57.46770025839793,
Touro University,United States,57,27.3,21810.0,21810.0,37824.0,,,21810.0,57,54.92341356673961,28.44638949671772,48.837209302325576,27.648578811369507,,,61.57549234135668,58.24289405684755,
Utica University,United States,61,26.1,24308.0,24308.0,36845.0,,,24308.0,61,49.23413566739606,34.57330415754923,42.11886304909561,33.850129198966414,,,55.711159737417944,51.7312661498708,
Angelo State University,United States,52,28.8,8319.0,18399.0,21625.0,,,18399.0,52,63.01969365426696,14.660831509846828,58.39793281653747,16.27906976744186,,,71.94748358862145,68.52713178294573,
Baylor University,United States,401,3.8,54844.0,54844.0,70130.0,,,54844.0,401,16.849015317286653,89.71553610503283,13.436692506459949,87.85529715762273,,,14.22319474835886,12.919896640826877,
Dallas Baptist University,United States,201,14.3,38140.0,38140.0,49343.0,,,38140.0,201,30.196936542669583,67.6148796498906,21.705426356589147,62.7906976744186,,,31.072210065645514,27.906976744186046,
University of Dallas,United States,401,2.3,50880.0,50880.0,64752.0,,,50880.0,401,16.849015317286653,86.65207877461707,13.436692506459949,84.23772609819122,,,15.448577680525165,14.366925064599481,
Hardin-Simmons University,United States,6,66.7,31686.0,31686.0,45059.0,,,31686.0,6,96.93654266958424,51.203501094091905,96.64082687338501,47.54521963824289,,,77.68052516411377,78.96640826873386,
Houston Christian University,United States,40,33.2,38100.0,38100.0,47605.0,,,38100.0,40,68.27133479212254,67.17724288840262,64.08268733850129,62.273901808785524,,,54.09190371991248,53.54005167958656,
University of Houston-Clear Lake,United States,401,2.3,7746.0,21330.0,23788.0,,,21330.0,401,16.849015317286653,26.477024070021884,13.436692506459949,26.614987080103358,,,39.518599562363235,37.41602067183463,
University of Houston-Downtown,United States,21,41.0,7708.0,17788.0,23017.0,,,17788.0,21,82.71334792122538,13.785557986870897,80.36175710594316,15.503875968992247,,,84.11378555798686,82.01550387596899,
University of Houston-Victoria,United States,21,41.0,7499.0,17291.0,21179.0,,,17291.0,21,82.71334792122538,12.472647702407002,80.36175710594316,13.953488372093023,,,84.63894967177242,82.63565891472868,
University of Houston,United States,401,5.9,9711.0,22191.0,25056.0,,,22191.0,401,16.849015317286653,29.75929978118162,13.436692506459949,29.198966408268735,,,38.20568927789934,36.382428940568474,
University of the Incarnate Word,United States,201,13.1,35660.0,35660.0,45850.0,,,35660.0,201,30.196936542669583,61.70678336980306,21.705426356589147,56.33074935400517,,,33.435448577680525,30.490956072351423,
Lamar University,United States,201,14.3,8690.0,18482.0,21626.0,,,18482.0,201,30.196936542669583,14.87964989059081,21.705426356589147,16.5374677002584,,,52.16630196936542,46.40826873385013,
LeTourneau University,United States,11,52.8,35500.0,35500.0,48206.0,,,35500.0,11,88.40262582056893,60.61269146608315,86.56330749354005,55.03875968992248,,,68.7964989059081,69.92248062015504,
Lubbock Christian University,United States,40,33.2,27298.0,27298.0,40493.0,,,27298.0,40,68.27133479212254,40.0437636761488,64.08268733850129,38.759689922480625,,,64.945295404814,62.945736434108525,
University of Mary Hardin-Baylor,United States,62,25.8,33150.0,33150.0,45235.0,,,33150.0,62,47.26477024070022,54.26695842450766,39.79328165374677,49.35400516795866,,,46.65207877461707,44.1343669250646,
McMurry University,United States,57,27.3,31372.0,31372.0,43087.0,,,31372.0,57,54.92341356673961,50.32822757111597,48.837209302325576,46.770025839793284,,,52.82275711159738,50.59431524547803,
Midwestern State University,United States,73,22.5,10310.0,12260.0,22411.0,,,12260.0,73,34.79212253829322,2.8446389496717726,25.064599483204137,3.359173126614987,,,59.737417943107225,53.695090439276484,
University of North Texas,United States,74,22.2,11164.0,21244.0,25470.0,,,21244.0,74,32.60393873085339,25.82056892778993,22.48062015503876,25.839793281653744,,,49.23413566739606,43.152454780361765,
Rice University,United States,61,26.1,58128.0,58128.0,74110.0,,,58128.0,61,49.23413566739606,92.77899343544857,42.11886304909561,91.47286821705426,,,32.42888402625821,28.68217054263566,
Saint Edward's University,United States,401,4.1,51384.0,51384.0,64975.0,,,51384.0,401,16.849015317286653,87.527352297593,13.436692506459949,85.27131782945736,,,15.098468271334792,13.953488372093027,
University of St Thomas,United States,301,11.0,33660.0,33660.0,44151.0,,,33660.0,301,22.975929978118163,56.01750547045952,16.27906976744186,50.90439276485789,,,31.37855579868709,29.40568475452196,
Sam Houston State University,United States,52,28.8,9228.0,19020.0,24517.0,,,19020.0,52,63.01969365426696,17.505470459518598,58.39793281653747,19.379844961240313,,,70.80962800875274,67.28682170542635,
Schreiner University,United States,61,26.1,37396.0,37396.0,46294.0,,,37396.0,61,49.23413566739606,64.77024070021882,42.11886304909561,59.43152454780362,,,43.63238512035011,41.49870801033592,
St. Mary's University,United States,57,27.3,36242.0,36242.0,46368.0,,,36242.0,57,54.92341356673961,63.23851203501094,48.837209302325576,57.88113695090439,,,47.65864332603939,46.149870801033586,
Southern Methodist University,United States,14,47.8,64460.0,64460.0,82532.0,,,64460.0,14,84.9015317286652,97.15536105032822,82.42894056847545,96.64082687338501,,,52.078774617067836,50.80103359173127,
Southwestern University,United States,24,39.1,51058.0,51058.0,63645.0,,,51058.0,24,81.1816192560175,86.87089715536105,78.81136950904393,84.49612403100775,,,53.960612691466075,53.48837209302326,
Stephen F Austin State University,United States,65,24.9,10600.0,20680.0,24231.0,,,20680.0,65,40.48140043763676,23.194748358862142,31.782945736434108,24.031007751937985,,,55.010940919037196,49.457364341085274,
Texas State University,United States,52,28.8,11450.0,23210.0,26348.0,,,23210.0,52,63.01969365426696,32.38512035010941,58.39793281653747,31.782945736434108,,,64.8577680525164,62.32558139534884,
Sul Ross State University,United States,52,28.8,7592.0,17384.0,23759.0,,,17384.0,52,63.01969365426696,13.129102844638949,58.39793281653747,14.728682170542637,,,72.56017505470459,69.14728682170542,
Tarleton State University,United States,63,25.5,7878.0,17958.0,22981.0,,,17958.0,63,46.389496717724285,14.00437636761488,38.759689922480625,15.762273901808785,,,62.23194748358861,56.95090439276487,
The University of Texas at Arlington,United States,38,33.8,11728.0,29660.0,25265.0,,,29660.0,38,72.21006564551422,45.951859956236326,68.73385012919897,43.927648578811365,,,64.945295404814,63.669250645994836,
The University of Texas at Austin,United States,38,33.8,11678.0,42778.0,29842.0,,,42778.0,38,72.21006564551422,77.4617067833698,68.73385012919897,73.64341085271317,,,52.34135667396061,51.782945736434115,
The University of Texas at Dallas,United States,38,33.8,14564.0,40064.0,28210.0,,,40064.0,38,72.21006564551422,73.08533916849015,68.73385012919897,68.47545219638242,,,54.09190371991247,53.850129198966414,
The University of Texas at El Paso,United States,38,33.8,9744.0,25512.0,19327.0,,,25512.0,38,72.21006564551422,36.98030634573304,68.73385012919897,35.65891472868217,,,68.53391684901533,66.97674418604652,
The University of Texas at Tyler,United States,38,33.8,9920.0,25198.0,23669.0,,,25198.0,38,72.21006564551422,36.542669584245075,68.73385012919897,35.14211886304909,,,68.7089715536105,67.18346253229974,
Texas Christian University,United States,401,6.2,57220.0,57220.0,72778.0,,,57220.0,401,16.849015317286653,91.46608315098467,13.436692506459949,89.92248062015504,,,13.522975929978122,12.093023255813954,
Texas Lutheran University,United States,24,39.1,34920.0,34920.0,47548.0,,,34920.0,24,81.1816192560175,59.29978118161926,78.81136950904393,53.746770025839794,,,64.98905908096279,65.78811369509043,
The University of Texas Permian Basin,United States,38,33.8,10904.0,23212.0,21727.0,,,23212.0,38,72.21006564551422,32.60393873085339,68.73385012919897,32.041343669250644,,,70.28446389496717,68.42377260981912,
The University of Texas at San Antonio,United States,38,33.8,8991.0,21965.0,21474.0,,,21965.0,38,72.21006564551422,28.88402625820569,68.73385012919897,28.165374677002585,,,71.77242888402625,69.97416020671835,
Texas Southern University,United States,24,39.1,9173.0,21773.0,24899.0,,,21773.0,24,81.1816192560175,28.227571115973742,78.81136950904393,27.39018087855297,,,77.41794310722099,76.33074935400518,
Texas Tech University,United States,201,16.0,11852.0,24451.0,27472.0,,,24451.0,201,30.196936542669583,35.010940919037196,21.705426356589147,34.10852713178294,,,44.11378555798687,39.37984496124031,
Texas Wesleyan University,United States,401,4.1,37934.0,37934.0,50619.0,,,37934.0,401,16.849015317286653,66.52078774617067,13.436692506459949,61.49870801033591,,,23.501094091903724,23.462532299741603,
Texas Woman's University,United States,401,4.1,8648.0,18720.0,20399.0,,,18720.0,401,16.849015317286653,15.317286652078774,13.436692506459949,16.795865633074936,,,43.98249452954048,41.343669250645995,
Trinity University,United States,6,66.7,51352.0,51352.0,65774.0,,,51352.0,6,96.93654266958424,87.30853391684902,96.64082687338501,85.01291989664082,,,63.238512035010935,63.979328165374675,
Wayland Baptist University,United States,201,14.3,23186.0,23186.0,34762.0,,,23186.0,201,30.196936542669583,31.947483588621445,21.705426356589147,31.266149870801037,,,45.33916849015317,40.51679586563308,
Strayer University-Texas,United States,401,2.9,13920.0,13920.0,23838.0,,,13920.0,401,16.849015317286653,5.142231947483589,13.436692506459949,6.072351421188631,,,48.052516411378555,45.63307493540052,
University of North Texas at Dallas,United States,38,33.8,9590.0,22189.0,21003.0,,,22189.0,38,72.21006564551422,29.540481400437635,68.73385012919897,28.940568475452196,,,71.50984682713349,69.6640826873385,
Barry University,United States,401,3.8,33450.0,33450.0,48300.0,,,33450.0,401,16.849015317286653,55.032822757111596,13.436692506459949,50.0,,,28.096280087527354,28.06201550387597,
Lynn University,United States,10,54.1,42950.0,42950.0,60817.0,,,42950.0,10,93.43544857768052,77.89934354485777,92.50645994832041,74.16020671834626,,,64.9015317286652,65.83979328165374,
University of Central Florida,United States,58,27.0,6368.0,22467.0,22819.0,,,22467.0,58,51.64113785557986,30.85339168490153,44.96124031007752,29.97416020671835,,,58.643326039387304,54.987080103359176,
Edward Waters University,United States,201,16.0,14878.0,14878.0,26973.0,,,14878.0,201,30.196936542669583,6.564551422319474,21.705426356589147,7.751937984496124,,,55.49234135667396,49.92248062015504,
Florida Atlantic University,United States,52,28.8,4879.0,17324.0,21054.0,,,17324.0,52,63.01969365426696,12.800875273522976,58.39793281653747,14.34108527131783,,,72.69146608315098,69.30232558139534,
AdventHealth University,United States,401,4.1,20880.0,20880.0,38194.0,,,20880.0,401,16.849015317286653,24.72647702407002,13.436692506459949,25.064599483204137,,,40.21881838074398,38.03617571059432,
Florida Institute of Technology,United States,72,22.8,44360.0,44360.0,60387.0,,,44360.0,72,37.199124726477024,79.54048140043764,27.906976744186046,76.09819121447028,,,30.503282275711157,26.304909560723516,
Florida Memorial University,United States,401,7.4,19110.0,19110.0,31940.0,,,19110.0,401,16.849015317286653,18.38074398249453,13.436692506459949,19.896640826873384,,,42.757111597374184,40.10335917312662,
Florida State University,United States,52,28.8,5656.0,18786.0,23683.0,,,18786.0,52,63.01969365426696,15.536105032822759,58.39793281653747,17.05426356589147,,,71.59737417943107,68.2170542635659,
University of Florida,United States,58,27.0,6381.0,28659.0,21719.0,,,28659.0,58,51.64113785557986,43.32603938730853,44.96124031007752,41.343669250645995,,,53.6542669584245,50.43927648578811,
Full Sail University,United States,401,2.9,26417.0,26417.0,39814.0,,,26417.0,401,16.849015317286653,38.29321663019694,13.436692506459949,36.95090439276486,,,34.79212253829321,33.281653746770026,
Jacksonville University,United States,11,52.8,46180.0,46180.0,61414.0,,,46180.0,11,88.40262582056893,83.36980306345733,86.56330749354005,80.62015503875969,,,59.69365426695843,59.689922480620154,
University of Miami,United States,70,23.4,59926.0,59926.0,77708.0,,,59926.0,70,37.63676148796499,93.6542669584245,28.42377260981912,92.50645994832041,,,25.120350109409195,20.051679586563306,
University of North Florida,United States,58,27.0,6389.0,20793.0,20229.0,,,20793.0,58,51.64113785557986,24.070021881838073,44.96124031007752,24.54780361757106,,,61.35667396061269,57.157622739018095,
Nova Southeastern University,United States,24,39.1,37080.0,37080.0,55647.0,,,37080.0,24,81.1816192560175,64.33260393873084,78.81136950904393,58.91472868217055,,,62.97592997811816,63.72093023255813,
Saint Leo University,United States,10,54.1,28360.0,28360.0,41727.0,,,28360.0,10,93.43544857768052,42.01312910284464,92.50645994832041,40.56847545219638,,,79.25601750547045,79.27648578811369,
University of South Florida,United States,58,27.0,6410.0,17324.0,22301.0,,,17324.0,58,51.64113785557986,12.800875273522976,44.96124031007752,14.34108527131783,,,65.86433260393872,61.24031007751938,
St. Thomas University,United States,40,33.2,34770.0,34770.0,49762.0,,,34770.0,40,68.27133479212254,58.86214442013129,64.08268733850129,53.229974160206716,,,57.41794310722101,57.15762273901809,
Stetson University,United States,40,33.2,55220.0,55220.0,69807.0,,,55220.0,40,68.27133479212254,89.93435448577681,64.08268733850129,88.11369509043928,,,44.9890590809628,43.20413436692506,
Southeastern University,United States,24,39.1,31732.0,31732.0,43803.0,,,31732.0,24,81.1816192560175,51.42231947483589,78.81136950904393,47.80361757105943,,,68.14004376367615,68.16537467700257,
The University of Tampa,United States,50,30.0,33424.0,33424.0,49841.0,,,33424.0,50,63.67614879649891,54.70459518599562,58.91472868217055,49.6124031007752,,,56.32385120350109,55.50387596899225,
University of West Florida,United States,58,27.0,6360.0,19241.0,18504.0,,,19241.0,58,51.64113785557986,18.599562363238512,44.96124031007752,20.155038759689923,,,63.544857768052516,58.91472868217055,
